source,destination,level
"*225*56644*","20003*67*45",0
"*225*56644*","21113*64447",0
"*225*56644*","21113*67*45",0
"*225*56644*","23*10*64447",0
"*225*56644*","23*10*67*45",0
"*225*56644*","23*12*64447",0
"*225*56644*","23*12*67*45",0
"*225*56644*","23*23*64447",0
"*225*56644*","23*23*67*45",0
"*225*56644*","23*34*64447",0
"*225*56644*","23*34*67*45",0
"*225*56644*","23*45*64447",0
"*225*56644*","23*45*67*45",0
"*225*56644*","23*455*4445",0
"*225*56644*","23*67*64447",0
"*225*56644*","23*67*67*45",0
"*225*56644*","23*78*64447",0
"*225*56644*","23*78*67*45",0
"*225*56644*","23*89*64447",0
"*225*56644*","23*89*67*45",0
"*225*56644*","23*95560*45",0
"*225*56644*","233*556*445",0
"*225*56644*","24443*64447",0
"*225*56644*","24443*67*45",0
"*225*56644*","26663*64447",0
"*225*56644*","26663*67*45",0
"*225*56644*","27773*64447",0
"*225*56644*","27773*67*45",0
"*225*56644*","28883*64447",0
"*225*56644*","28883*67*45",0
"*225*56644*","29993*64447",0
"*225*56644*","29993*67*45",0
"*225*56644*","30004*64447",0
"*225*56644*","30004*67*45",0
"*225*56644*","31114*64447",0
"*225*56644*","31114*67*45",0
"*225*56644*","34*10*64447",0
"*225*56644*","34*10*67*45",0
"*225*56644*","34*12*64447",0
"*225*56644*","34*12*67*45",0
"*225*56644*","34*23*64447",0
"*225*56644*","34*23*67*45",0
"*225*56644*","34*34*64447",0
"*225*56644*","34*34*67*45",0
"*225*56644*","34*45*64447",0
"*225*56644*","34*45*67*45",0
"*225*56644*","34*455*4445",0
"*225*56644*","34*67*64447",0
"*225*56644*","34*67*67*45",0
"*225*56644*","34*78*64447",0
"*225*56644*","34*78*67*45",0
"*225*56644*","34*89*64447",0
"*225*56644*","34*89*67*45",0
"*225*56644*","34*95560*45",0
"*225*56644*","344*556*445",0
"*225*56644*","36664*64447",0
"*225*56644*","36664*67*45",0
"*225*56644*","37774*64447",0
"*225*56644*","37774*67*45",0
"*225*56644*","38884*64447",0
"*225*56644*","38884*67*45",0
